Date,Close,High,Low,Open,Volume
2020-01-02,297.698974609375,297.71731977517936,295.5546875996484,296.4802235866316,59151200
2020-01-03,295.4447326660156,296.57186973652915,294.2442988268179,294.2992783946291,77709700
2020-01-06,296.57183837890625,296.65430772190325,293.5661398420069,293.68527154806566,55653900
2020-01-07,295.7379455566406,296.48019761170144,295.2889085116511,296.0036707856056,40496400
2020-01-08,297.3141174316406,298.53286845352926,295.6829916921281,295.93039974358743,68296000
2020-01-09,299.3301086425781,299.4034333774434,298.29461349284884,298.88109951100057,48473300
2020-01-10,298.46875,300.07238613706346,298.0014236278169,299.91662000140076,53029300
2020-01-13,300.52142333984375,300.5305679585822,298.6612065390366,299.0918985059818,47086800
2020-01-14,300.063232421875,301.1353620319294,299.50423615771473,300.0815496239874,62832800
2020-01-15,300.7413330078125,301.5019023922084,299.8891216822957,299.9715910397463,72056600
2020-01-16,303.24298095703125,303.24298095703125,301.8959256745201,302.1250165187214,54050300
2020-01-17,304.1868591308594,304.3976048271327,303.17885374044386,303.9577682678192,95846000
2020-01-21,303.5911865234375,304.39759079860585,303.1513499843944,303.22464675250427,77742400
2020-01-22,303.62786865234375,305.10322838025627,303.4721025230249,304.45259018192024,48914900
2020-01-23,303.9759826660156,304.38835726610193,301.85918604463114,302.97715019678435,51963000
2020-01-24,301.27276611328125,304.71830123070856,299.980690444246,304.635831885688,87578400
2020-01-27,296.4435729980469,297.92807729720744,295.6738310638596,296.0128810624095,84062500
2020-01-28,299.550048828125,300.4297498723814,296.5352053758519,297.8730881255824,63834000
2020-01-29,299.3026428222656,301.1445424118308,299.10104173303364,300.9154515361215,53888900
2020-01-30,300.27398681640625,300.4847604901736,296.4802564449588,297.2316532660353,75491800
2020-01-31,294.8216552734375,299.80667522712497,293.9052917226155,299.6508811187989,113845600
2020-02-03,297.01171875,298.88110802964894,296.18699723301154,296.3061289566686,69083000
2020-02-04,301.53851318359375,302.4090695275427,300.31058968515316,300.631322441618,62573200
2020-02-05,305.020751953125,305.23152563303483,303.01394154526906,304.48010082486485,65951100
2020-02-06,306.0470886230469,306.23951712579645,304.9657584507148,305.98293646706554,50359700
2020-02-07,304.4159240722656,306.056194377022,303.86610045474913,304.98406488979606,64139400
2020-02-10,306.68853759765625,306.7526897560034,303.49043784674745,303.5271002179738,42070000
2020-02-11,307.22003173828125,308.8328124597925,306.688525255074,308.0447532839123,54864500
2020-02-12,309.1992492675781,309.40999488269836,308.2920307829556,308.65857042963563,43992700
2020-02-13,308.8694152832031,309.84075815537994,307.4948703170825,307.769768124231,54501900
2020-02-14,309.3642272949219,309.4833589874241,308.08132438564087,309.28175796130944,64582200
2020-02-18,308.5670471191406,309.4284309226807,307.1741569014039,308.36544605947824,57226200
2020-02-19,310.0423583984375,310.72045829777164,309.25429937652905,309.53836976490896,48814700
2020-02-20,308.7685852050781,310.317241219091,305.7720597037326,309.49249198355943,74163400
2020-02-21,305.5888977050781,307.7240122691576,304.7641482162331,307.4124520475645,113788200
